Date,Envi,Fuji,Gala,type
27/12/2015,93034,246747,19104,0
20/12/2015,113404,188263,24478,0
13/12/2015,96222,321764,29349,0
6/12/2015,111259,378124,8808,0
29/11/2015,85241,179982,14146,0
22/11/2015,100048,323797,18216,0
15/11/2015,98270,428999,20029,0
8/11/2015,113965,354455,12294,0
1/11/2015,140330,446008,8551,0
25/10/2015,106239,393921,11222,0
18/10/2015,117059,435492,13693,0
11/10/2015,108539,432102,18841,0
4/10/2015,101712,364774,27622,0
27/9/2015,119090,386987,15286,0
20/9/2015,85382,461273,25530,0
13/9/2015,115936,451936,17939,0
6/9/2015,138155,420366,19091,0
30/8/2015,119850,421032,19354,0
23/8/2015,135262,318116,21420,0
16/8/2015,157630,348864,18155,0
9/8/2015,131770,377129,24026,0
2/8/2015,153499,423520,16711,0
26/7/2015,138943,376355,25778,0
19/7/2015,119266,513055,17089,0
12/7/2015,123673,423853,22068,0
5/7/2015,146171,428389,19547,0
28/6/2015,162886,362226,18450,0
21/6/2015,184206,405470,12854,0
14/6/2015,194447,401133,17694,0
7/6/2015,167992,439309,17507,0
31/5/2015,127748,365471,18725,0
24/5/2015,198187,369924,18818,0
17/5/2015,156010,305201,17378,0
10/5/2015,148763,454026,16724,0
3/5/2015,182975,485743,14810,0
26/4/2015,160372,381779,5981,0
19/4/2015,129744,544167,6232,0
12/4/2015,176304,574793,8604,0
5/4/2015,156967,396450,6309,0
29/3/2015,160679,371990,4760,0
22/3/2015,131882,380285,8461,0
15/3/2015,160422,403061,5122,0
8/3/2015,118578,491584,7265,0
1/3/2015,101528,487874,5507,0
22/2/2015,153410,584094,5686,0
15/2/2015,116908,404107,7798,0
8/2/2015,153584,466313,5421,0
1/2/2015,217716,608156,5736,0
25/1/2015,140914,422435,4945,0
18/1/2015,151977,500684,4225,0
11/1/2015,110974,427723,5358,0
4/1/2015,117454,429518,5554,0
25/12/2016,123942,206365,15600,0
18/12/2016,116070,232183,10972,0
11/12/2016,110203,219904,11428,0
4/12/2016,129941,277375,11513,0
27/11/2016,86312,131941,14113,0
20/11/2016,94900,146401,15291,0
13/11/2016,133529,197035,16010,0
6/11/2016,110498,148423,18859,0
30/10/2016,99370,239345,16411,0
23/10/2016,100520,166316,19087,0
16/10/2016,129257,156075,16490,0
9/10/2016,149622,240858,13026,0
2/10/2016,124505,172836,16448,0
25/9/2016,135132,168060,16829,0
18/9/2016,134608,198214,16329,0
11/9/2016,112292,227729,14433,0
4/9/2016,146922,254464,17240,0
28/8/2016,138029,282568,13197,0
21/8/2016,150776,190695,13733,0
14/8/2016,120450,189114,19583,0
7/8/2016,168010,183569,18625,0
31/7/2016,144731,178801,19083,0
24/7/2016,128025,187555,19241,0
17/7/2016,145159,204309,19017,0
10/7/2016,190377,230362,20484,0
3/7/2016,170576,256861,21307,0
26/6/2016,165859,229713,17278,0
19/6/2016,188106,224899,20738,0
12/6/2016,179534,242834,19839,0
5/6/2016,184535,326967,16486,0
29/5/2016,181471,282618,33023,0
22/5/2016,160299,266856,17526,0
15/5/2016,159349,252574,39118,0
8/5/2016,181355,427697,13291,0
1/5/2016,153152,261525,15299,0
24/4/2016,132551,225789,11419,0
17/4/2016,171832,285968,27996,0
10/4/2016,127375,353041,11021,0
3/4/2016,153222,209188,25632,0
27/3/2016,150919,208644,20424,0
20/3/2016,138939,360370,10951,0
13/3/2016,158017,261686,33866,0
6/3/2016,145894,242906,18706,0
28/2/2016,118100,300336,62908,0
21/2/2016,155250,331998,14973,0
14/2/2016,178547,277085,17993,0
7/2/2016,230722,557897,18935,0
31/1/2016,167669,270482,27490,0
24/1/2016,25727,404617,15455,0
17/1/2016,118600,403010,31010,0
10/1/2016,146631,366331,37684,0
3/1/2016,114122,526049,10375,0
31/12/2017,127053,355322,8951,0
24/12/2017,142027,171218,11714,0
17/12/2017,157024,154962,12155,0
10/12/2017,150701,330683,7680,0
3/12/2017,149815,325073,9270,0
26/11/2017,125916,171383,12038,0
19/11/2017,132242,196662,15425,0
12/11/2017,137872,269918,8942,0
5/11/2017,122061,320968,8618,0
29/10/2017,130556,226577,10872,0
22/10/2017,126274,238206,6360,0
15/10/2017,126305,158787,711,0
8/10/2017,133463,140122,178,0
1/10/2017,114291,249373,198,0
24/9/2017,125320,161436,192,0
17/9/2017,150992,156645,2422,0
10/9/2017,114530,167203,12806,0
3/9/2017,122403,165312,13836,0
27/8/2017,122874,379023,10440,0
20/8/2017,113450,324068,13425,0
13/8/2017,148506,198504,11830,0
6/8/2017,145451,211822,13542,0
30/7/2017,145887,313773,12961,0
23/7/2017,149314,353626,13389,0
16/7/2017,108384,207831,14611,0
9/7/2017,164107,267690,16221,0
2/7/2017,124816,182812,25203,0
25/6/2017,165524,173433,20678,0
18/6/2017,185316,198309,19386,0
11/6/2017,192092,212253,21885,0
4/6/2017,198732,179793,30183,0
28/5/2017,172557,175140,24390,0
21/5/2017,145487,205775,16549,0
14/5/2017,166017,223914,18081,0
7/5/2017,147251,357128,17251,0
30/4/2017,145243,162527,23984,0
23/4/2017,162810,163230,22772,0
16/4/2017,164061,178842,23776,0
9/4/2017,136194,164299,23358,0
2/4/2017,150611,159644,22582,0
26/3/2017,158589,150935,20053,0
19/3/2017,152539,156752,19725,0
12/3/2017,138467,157144,18700,0
5/3/2017,142858,161939,18348,0
26/2/2017,139038,237454,15022,0
19/2/2017,153258,254319,17089,0
12/2/2017,204918,291658,14707,0
5/2/2017,239164,502457,14681,0
29/1/2017,172615,214812,14726,0
22/1/2017,149313,268030,13355,0
15/1/2017,147752,212523,18135,0
8/1/2017,169104,249168,16471,0
1/1/2017,138364,336468,12664,0
25/3/2018,176287,222958,16541,0
18/3/2018,163394,260748,15484,0
11/3/2018,159389,205340,16599,0
4/3/2018,192776,258653,15527,0
25/2/2018,166753,254658,14153,0
18/2/2018,159851,197245,12930,0
11/2/2018,234996,251175,13754,0
4/2/2018,234985,468889,11698,0
28/1/2018,181752,215803,9804,0
21/1/2018,147298,233969,14834,0
14/1/2018,178992,323916,11964,0
7/1/2018,184830,292349,14102,0
27/12/2015,9300,2854,12,1
20/12/2015,9203,3262,4,1
13/12/2015,7420,3155,3,1
6/12/2015,3842,8060,33,1
29/11/2015,5179,11715,16,1
22/11/2015,6643,5729,30,1
15/11/2015,11294,3356,29,1
8/11/2015,37448,9326,36,1
1/11/2015,5851,6277,29,1
25/10/2015,1814,6321,36,1
18/10/2015,2157,5707,26,1
11/10/2015,2269,4720,26,1
4/10/2015,1369,5987,31,1
27/9/2015,5918,5527,31,1
20/9/2015,6110,3509,14,1
13/9/2015,5076,3584,29,1
6/9/2015,3821,5154,11,1
30/8/2015,5989,4070,24,1
23/8/2015,12001,6027,32,1
16/8/2015,10282,5063,10,1
9/8/2015,12491,3931,22,1
2/8/2015,10555,2963,23,1
26/7/2015,9086,2620,22,1
19/7/2015,9847,2605,23,1
12/7/2015,9772,3067,32,1
5/7/2015,9787,3059,11,1
28/6/2015,10715,2930,33,1
21/6/2015,9953,2918,22,1
14/6/2015,11489,4349,50,1
7/6/2015,11956,4702,48,1
31/5/2015,11232,4800,21,1
24/5/2015,13289,5498,19,1
17/5/2015,19912,8930,19,1
10/5/2015,19400,8573,45,1
3/5/2015,88781,36428,144,1
26/4/2015,75842,37729,268,1
19/4/2015,6897,4707,66,1
12/4/2015,6190,4729,21,1
5/4/2015,8697,6633,20,1
29/3/2015,5456,8344,9,1
22/3/2015,9366,8035,16,1
15/3/2015,27916,27507,28,1
8/3/2015,34792,26156,46,1
1/3/2015,15769,11650,15,1
22/2/2015,4987,6082,29,1
15/2/2015,2347,7062,13,1
8/2/2015,3018,7175,10,1
1/2/2015,4824,10710,104,1
25/1/2015,4271,8412,585,1
18/1/2015,5475,32539,42,1
11/1/2015,8856,15071,25,1
4/1/2015,3199,6917,8,1
25/12/2016,5413,885,76,1
18/12/2016,9936,1782,101,1
11/12/2016,14092,1602,16,1
4/12/2016,12166,1971,23,1
27/11/2016,11122,1566,22,1
20/11/2016,14123,1493,6,1
13/11/2016,8092,1339,13,1
6/11/2016,11565,1279,24,1
30/10/2016,21485,2147,15,1
23/10/2016,15715,1953,36,1
16/10/2016,6148,1283,14,1
9/10/2016,11579,2259,13,1
2/10/2016,11038,1697,15,1
25/9/2016,9351,1695,8,1
18/9/2016,10443,2217,6,1
11/9/2016,10019,2408,14,1
4/9/2016,8811,2263,275,1
28/8/2016,5597,1247,286,1
21/8/2016,8263,1735,15,1
14/8/2016,8488,1648,13,1
7/8/2016,12876,2652,8,1
31/7/2016,14013,2829,36,1
24/7/2016,14467,3103,54,1
17/7/2016,15311,3457,21,1
10/7/2016,10122,2279,18,1
3/7/2016,13461,3316,58,1
26/6/2016,14922,4022,77,1
19/6/2016,20528,3778,100,1
12/6/2016,19721,3959,29,1
5/6/2016,12810,3098,22,1
29/5/2016,8556,1939,23,1
22/5/2016,25269,1853,34,1
15/5/2016,11220,3024,24,1
8/5/2016,14280,6750,52,1
1/5/2016,85419,40808,143,1
24/4/2016,62552,37421,125,1
17/4/2016,6856,2139,28,1
10/4/2016,5150,1545,26,1
3/4/2016,6435,2257,16,1
27/3/2016,8689,2179,26,1
20/3/2016,4709,3674,27,1
13/3/2016,17624,12791,53,1
6/3/2016,10701,10988,60,1
28/2/2016,4713,1955,23,1
21/2/2016,5721,2259,4,1
14/2/2016,6479,3527,28,1
7/2/2016,4205,3815,33,1
31/1/2016,6588,6336,41,1
24/1/2016,7581,5040,30,1
17/1/2016,6052,3670,23,1
10/1/2016,4370,10785,55,1
3/1/2016,7003,4241,52,1
31/12/2017,4401,483,13,1
24/12/2017,6227,528,30,1
17/12/2017,5039,435,43,1
10/12/2017,4093,452,50,1
3/12/2017,4565,368,16,1
26/11/2017,4745,393,86,1
19/11/2017,4507,340,16,1
12/11/2017,4294,412,21,1
5/11/2017,4139,412,36,1
29/10/2017,4980,572,27,1
22/10/2017,5719,907,75,1
15/10/2017,11990,1115,85,1
8/10/2017,7350,484,31,1
1/10/2017,3685,236,11,1
24/9/2017,3287,244,17,1
17/9/2017,6552,478,21,1
10/9/2017,6045,525,39,1
3/9/2017,5320,500,21,1
27/8/2017,5403,507,22,1
20/8/2017,5178,520,41,1
13/8/2017,7525,865,59,1
6/8/2017,9901,1086,46,1
30/7/2017,8613,1389,54,1
23/7/2017,8534,3419,215,1
16/7/2017,3638,1154,99,1
9/7/2017,12539,1475,81,1
2/7/2017,11851,2544,61,1
25/6/2017,4522,3679,27,1
18/6/2017,8640,2043,55,1
11/6/2017,16513,1810,103,1
4/6/2017,13420,1057,46,1
28/5/2017,25873,2438,165,1
21/5/2017,25044,4244,82,1
14/5/2017,22356,7368,139,1
7/5/2017,32779,13319,214,1
30/4/2017,24514,3402,97,1
23/4/2017,12793,2126,70,1
16/4/2017,16051,2802,112,1
9/4/2017,11793,2019,76,1
2/4/2017,9310,2010,58,1
26/3/2017,10129,1678,36,1
19/3/2017,9087,1632,24,1
12/3/2017,14682,2308,34,1
5/3/2017,23363,3586,23,1
26/2/2017,12233,2066,39,1
19/2/2017,10979,1473,20,1
12/2/2017,15110,2068,16,1
5/2/2017,9066,1335,21,1
29/1/2017,13842,3183,14,1
22/1/2017,12520,5289,11,1
15/1/2017,18781,3010,271,1
8/1/2017,8721,1639,54,1
1/1/2017,4103,776,6,1
25/3/2018,6516,686,44,1
18/3/2018,10539,797,33,1
11/3/2018,7033,640,52,1
4/3/2018,5777,589,11,1
25/2/2018,8387,751,25,1
18/2/2018,8065,598,50,1
11/2/2018,5261,639,35,1
4/2/2018,3747,497,23,1
28/1/2018,6132,551,36,1
21/1/2018,7842,687,33,1
14/1/2018,8396,839,54,1
7/1/2018,8897,939,22,1
